theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.05,50000,0.01,0.5,0.75,0.051069735925418976,0.004571364727888575,0.998441025576763,0.002960388904471932,0.9982494529540481,0.013128878905789754,9057.730634573303,46557.7306345733,0.9311546126914662,0.999343544857768,457,4570
0.05,50000,0.01,0.75,0.1,0.0318363611802668,0.007102291116374606,0.9805023515588317,0.10468558718714675,0.9788617886178862,0.11032889171742045,22570.852032520324,27570.852032520324,0.5514170406504065,1.0,123,1230
0.05,50000,0.01,0.75,0.25,0.03978055299427548,0.004016080542356572,0.9999651431484343,0.00025226931347536194,1.0,0.0,22194.663194444445,34694.663194444445,0.693893263888889,1.0,144,1440
0.05,50000,0.01,0.75,0.5,0.04783059235970258,0.004378044002058302,0.9999882497024896,6.839016759014955e-05,1.0,0.0,16744.522704081635,41744.52270408163,0.8348904540816326,1.0,392,3920
0.05,50000,0.01,0.75,0.75,0.04973524764721283,0.005117956833851029,0.9929157715998307,0.06351996289909943,0.9927999999999999,0.06630953104807508,8915.9352,46415.9352,0.928318704,0.9996,500,5000
0.05,50000,0.05,0.25,0.1,0.05080287636193871,0.014199308266108586,0.8066789914695067,0.09268795623107877,0.8026422764227642,0.15374857832634917,11850.492479674796,16850.492479674795,0.3370098495934959,1.0,492,4920
0.05,50000,0.05,0.25,0.25,0.04931315838597354,0.00912955279071643,0.8493933688061356,0.07355692605389046,0.8525050100200401,0.13083274169775122,11507.124849699398,24007.1248496994,0.480142496993988,1.0,499,4990
0.05,50000,0.05,0.25,0.5,0.05016764388476715,0.006426599859086524,0.947678609155586,0.05612272101370772,0.9454,0.09063812962038746,12300.084,37300.084,0.74600168,1.0,500,5000
0.05,50000,0.05,0.25,0.75,0.0504491122845921,0.005151511538214319,0.9996508475603848,0.0022954476254094035,1.0,0.0,8582.60267489712,46082.60267489712,0.9216520534979423,1.0,486,4860
0.05,50000,0.05,0.5,0.1,0.04982237599103194,0.014632008473186025,0.3287962942646925,0.34839962159397697,0.3246,0.36392268332556255,6780.1592,11780.1592,0.23560318399999997,1.0,500,5000
0.05,50000,0.05,0.5,0.25,0.050375685306175075,0.009063965049971414,0.457367167030667,0.25130656119408046,0.458,0.2865662933440741,7667.6398,20167.6398,0.403352796,1.0,500,5000
0.05,50000,0.05,0.5,0.5,0.04967444751226145,0.006461034392283652,0.8240517119385342,0.1939396901790333,0.8172,0.2282286937993265,11247.4948,36247.4948,0.7249498959999999,1.0,500,5000
0.05,50000,0.05,0.5,0.75,0.050287082600751806,0.005155003849077283,0.9997544029870435,0.0006397654371004447,0.9997991967871486,0.004481107149482207,8538.56767068273,46038.56767068273,0.9207713534136546,1.0,498,4980
0.05,50000,0.05,0.5,0.9,0.06354373737908706,0.0012282812954753902,0.9959437142243281,0.0020048236379459333,0.95,0.07071067811865478,4068.95,49068.95,0.981379,0.95,2,20
0.05,50000,0.05,0.75,0.1,0.029378339057663825,0.007588183431231827,0.970380001229203,0.14336136758328485,0.9714285714285714,0.14430780390554504,20756.641836734692,25756.641836734692,0.5151328367346939,1.0,98,980
0.05,50000,0.05,0.75,0.25,0.03683697745093772,0.0038813696388848686,0.9999663749759028,0.0001982722124450443,1.0,0.0,20520.024444444443,33020.02444444445,0.6604004888888889,1.0,90,900
0.05,50000,0.05,0.75,0.5,0.045303058199300396,0.004229707927376175,0.999984242294898,0.0001553648733185808,1.0,0.0,15761.201976284585,40761.20197628458,0.8152240395256917,1.0,253,2530
0.05,50000,0.05,0.75,0.75,0.04955140329738775,0.004985865188031088,0.9996527125922984,0.0009847711412619086,1.0,0.0,8504.3034,46004.3034,0.9200860679999999,1.0,500,5000
